
208.67.222.222 , Queries Sent: , Queries Completed: , QPS: , Avg Latency: 
5.152.129.20, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
93.145.20.234, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.229.74.60, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.193.70.135, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.249.135.29, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.152.130.184, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.88.153.94, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.152.129.39, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.63.173.158, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
195.254.230.33, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.229.48.185, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.181.194.15, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
91.81.25.178, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.249.155.82, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.150.131.84, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.249.157.17, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
46.231.32.23, Queries Sent: 10876, Queries Completed: 10862, QPS: 2170.609247, Avg Latency: 0.017856
2.114.91.193, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
91.80.143.28, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.99.195.213, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.89.25.29, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.152.130.157, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
185.110.23.88, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.236.86.109, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
208.67.220.220, Queries Sent: 8864, Queries Completed: 8764, QPS: 1752.774760, Avg Latency: 0.016560
5.249.152.162, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.193.34.1, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.249.152.92, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
93.148.114.253, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
188.153.236.138, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.2.1.213, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.249.150.250, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.152.129.135, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.97.86.129, Queries Sent: 105, Queries Completed: 5, QPS: 0.999980, Avg Latency: 0.049482
5.98.128.7, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.152.157.160, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
77.83.218.13, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.253.215.58, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
188.219.36.106, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
83.224.128.185, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.94.44.248, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
195.134.182.105, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
93.149.22.56, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
88.51.18.175, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.88.89.163, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.178.91.18, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
46.31.251.23, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
130.0.184.10, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.152.131.8, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.83.104.253, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
77.238.23.128, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.152.144.185, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
62.94.90.4, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
79.0.73.35, Queries Sent: 8743, Queries Completed: 8743, QPS: 1681.480672, Avg Latency: 0.044431
5.152.145.164, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
109.115.191.109, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
93.71.116.154, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
188.219.42.114, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.40.45.218, Queries Sent: 4214, Queries Completed: 4162, QPS: 797.285627, Avg Latency: 0.056361
2.45.27.8, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
88.47.150.86, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
91.80.139.79, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
128.65.116.186, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.193.72.187, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
91.80.153.222, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
85.47.95.162, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
93.41.217.85, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
195.110.128.1, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
46.228.250.187, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.61.218.245, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
87.19.252.102, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
185.63.103.229, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.249.152.87, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
87.3.111.215, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.88.178.216, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
87.241.25.102, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
176.32.63.7, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.36.248.58, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.97.219.246, Queries Sent: 120, Queries Completed: 20, QPS: 3.999943, Avg Latency: 0.114561
109.238.20.203, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.40.201.118, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.249.158.158, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.150.135.195, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.11.37.251, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.249.155.183, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
91.80.147.174, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
